PARCELA,HECTAREAS,Area (m2),Bounds (m2),Convex (m2),Area (ha.),X,Y
0,9.7,108732.0615,164326.197,108965.5118,10.8732061,-102.70498,21.1216475
1,11.7,140415.5415,192902.229,142375.4212,14.0415541,-102.70178,21.1209547
2,10.8,133114.5032,257458.134,181379.3659,13.3114503,-102.63398,21.1829494
3,42,527361.4512,1638267.29,1068832.245,52.7361451,-102.72676,21.1606873
4,12,132515.4543,201169.373,142622.7729,13.2515454,-102.68559,21.0937214
5,7.4,84195.60718,128638.616,95258.89329,8.41956072,-102.66104,21.2080648
6,48.9,626978.5933,1449688.05,954255.1709,62.6978593,-102.75448,21.0932683
7,3.7,44820.9148,102489.701,69780.17991,4.48209148,-102.63126,21.1471905
8,6,70906.66498,104681.902,77518.82059,7.0906665,-102.63465,21.1521947
9,65,802187.8359,1470151.16,901855.439,80.2187836,-102.71779,21.120147
10,24.1,331880.1807,596796.174,405348.3743,33.1880181,-102.794,21.1155174
11,37.5,426166.5386,681424.828,426819.7975,42.6166539,-102.70439,21.13595
12,12.2,197361.391,465881.268,282754.2809,19.7361391,-102.80365,21.1218412
13,44.8,569266.3305,918978.009,683769.2033,56.9266331,-102.67073,21.1218794
14,12.2,186196.9667,403898.622,239071.7138,18.6196967,-102.74967,21.1084736
15,31.2,411606.57,658408.32,424585.94,41.160657,-102.77117,21.122283
16,1.5,22139.12772,72346.7852,36741.16847,2.21391277,-102.70785,21.2393638
17,5.8,81437.00895,353478.956,175554.7157,8.14370089,-102.70541,21.2415034
18,5.7,75194.66722,119444.363,77666.63225,7.51946672,-102.79734,21.0902337
19,39.3,472176.1848,934206.935,612424.6495,47.2176185,-102.7546,21.2433967
20,76.3,848232.7538,1269010.92,928764.9514,84.8232754,-102.66116,21.0901996
21,9.6,102054.8007,132017.516,105310.305,10.2054801,-102.6944,21.1615788
22,100,1413117.203,2933594.78,2100573.166,141.31172,-102.77369,21.1003478
23,16.1,221853.6465,386017.293,269603.3284,22.1853647,-102.73726,21.1433625
24,45.1,612684.9202,4880134.82,1898774.538,61.268492,-102.71441,21.2097714
25,38.9,442472.7872,621105.73,461184.951,44.2472787,-102.71736,21.1304606
26,12,138313.1811,348848.592,221486.0112,13.8313181,-102.68681,21.2221164
27,5.9,65453.46403,120184.001,71251.89854,6.5453464,-102.68993,21.2221998
28,2.8,34147.82571,39603.1917,34774.00071,3.41478257,-102.66952,21.1299819
29,9.6,155146.5898,242560.715,172782.7544,15.514659,-102.66847,21.1276331
30,35,389441.3734,638117.963,474596.3287,38.9441373,-102.73059,21.1258738
31,38.7,499098.4021,2009106.66,972023.1394,49.9098402,-102.69709,21.216889
32,28.5,380768.2024,595593.814,440749.0978,38.0768202,-102.73651,21.1469264
33,50.8,727683.1034,1406584.47,1021042.711,72.7683103,-102.73777,21.165477
34,37,414268.8172,608611.609,429494.8766,41.4268817,-102.72965,21.1313036
35,21.3,251643.6513,639054.308,258681.7113,25.1643651,-102.71407,21.112958
